path,ext,top_dir,doc_section,bytes,mtime,git_last_commit_date,git_status,sha1,protection
.artifacts/vault-login-dashboard-animation.html,html,.artifacts,.artifacts,85585,2026-06-25T10:18:52.946Z,untracked,untracked,bb63c8122f4743b1511ad5be3d67b89316949b22,reviewable
.github/pull_request_template.md,md,.github,.github,2679,2026-06-21T13:20:56.771Z,2026-06-18,clean,f1ae7417a58c743e5851da26cfdac34f6c4ef551,reviewable
.omo/evidence/BULK-SCOPE-APPROVAL/applied/approval-workbook.after-first-review.local.xlsx,xlsx,.omo,.omo,1393482,2026-06-24T16:58:25.285Z,untracked,untracked,7cb7daf0e07b3965bc803484109822919a5d8776,protected_evidence_ref_review_only
.omo/evidence/BULK-SCOPE-APPROVAL/batches/first-review-p2-draft-code.local.xlsx,xlsx,.omo,.omo,47670,2026-06-24T16:58:07.194Z,untracked,untracked,11b9b5fc2835c044cd100f5a144e27284d57555a,protected_evidence_ref_review_only
.omo/evidence/BULK-SCOPE-APPROVAL/client-candidates.local.xlsx,xlsx,.omo,.omo,14791,2026-06-24T16:58:43.157Z,untracked,untracked,47b4bb3ef7582d026192e4c16f8b4258785bd8e7,protected_evidence_ref_review_only
.omo/evidence/BULK-SCOPE-APPROVAL/onedrive-bulk-approval-workbook.local.xlsx,xlsx,.omo,.omo,1389506,2026-06-24T16:58:05.196Z,untracked,untracked,41ba8bccefabccec2378379bdd5801e74f3edbb5,protected_evidence_ref_review_only
.omo/evidence/BULK-SCOPE-APPROVAL/onedrive-bulk-approval-workbook.provisional-approve-complete.local.xlsx,xlsx,.omo,.omo,1399768,2026-06-24T17:15:07.584Z,untracked,untracked,136047f19314cce4888ff2993dec3103d0bf7087,protected_evidence_ref_review_only
.omo/evidence/LC-ONEDRIVE-00/executor.md,md,.omo,.omo,378,2026-06-25T09:23:27.567Z,untracked,untracked,56e858a1898778ab1a574836490b9db0c6f46e2b,protected_evidence_ref_review_only
.omo/evidence/LC-ONEDRIVE-00/gate-review.md,md,.omo,.omo,592,2026-06-25T09:23:27.567Z,untracked,untracked,aef32ff83ad0c88ddda55fe5ba0ef46eafa6a0ff,protected_evidence_ref_review_only
.omo/evidence/LC-ONEDRIVE-00/manual-qa.md,md,.omo,.omo,417,2026-06-25T09:23:27.567Z,untracked,untracked,0e4f2972c7a9df3b76eecd197ad2118928d60c71,protected_evidence_ref_review_only
